,Cruise,Station,Latitude,Longitude,Sample #,Date Sampled,DEPTH [m],Stn-depth,dCo [pM],LdCo [pM],dZn [nmol/kg],CTDPRS [dbar],CTDTMP,CTDOXY [umol/kg],CTDFLUOR,CTDXMISS,CTDSAL,Salinity,Silicate [umol/kg],Phosphate [umol/kg],Nitrate [umol/kg],Nitrite [umol/kg],Density,dZn [nM],Silicate [uM],Phosphate [uM],Nitrate [uM],Nitrite [uM],Sigma0 [kg/m3]
0,GP15,1.0,56.093999999999994,-156.961,12430,43369,2,1-2,576.428798,101.8864061,0.228635063,2.0,10.6312,276.7,0.10300000000000001,4.053999999999999,31.3983,31.4337,7.53,0.44,2.7,0.2,1.0240493116578024,0.2341335788859883,7.711091316783253,0.4505816971294331,2.764933141476067,0.2048098623315605,24.040349499446393
1,GP15,1.0,56.093999999999994,-156.961,12442,43369,20,1-20,397.0087055,110.16831570000001,0.410269674,17.4,10.4989,298.7,0.10099999999999999,4.191,31.4509,31.4815,7.53,0.47,2.82,0.23,1.0241827040889495,0.42019110412301175,7.71209576178979,0.48136587092180627,2.8881952255308376,0.2355620219404584,24.10413616433607
2,GP15,1.0,56.093999999999994,-156.961,12440,43369,30,1-30,321.6010131,99.71484798,,27.5,9.9018,282.1,0.031,4.511,31.8003,31.908,10.86,0.77,7.04,0.53,1.0246003804227133,,11.127160131390665,0.7889422929254892,7.2131866781759015,0.543038201624038,24.475903067312856
3,GP15,1.0,56.093999999999994,-156.961,12438,43369,40,1-40,259.1710306,74.60945621,1.32548453,37.9,9.271,269.4,0.011000000000000001,4.579,31.9401,31.9249,11.74,0.9,9.25,0.35,1.024858296163338,1.3584338170066628,12.031836396957587,0.9223724665470041,9.479939239510875,0.35870040365716827,24.686258090571982
4,GP15,1.0,56.093999999999994,-156.961,12436,43369,50,1-50,275.8365645,96.95663937,2.4513723869999997,47.2,8.5591,264.2,0.005,4.5889999999999995,32.0044,32.0773,13.69,1.0,10.77,0.27,1.0250607889950702,2.5128057131389485,14.033082201342511,1.0250607889950702,11.039904697476906,0.276766413028669,24.845810922530063
5,GP15,1.0,56.093999999999994,-156.961,12434,43369,70,1-70,271.75479839999997,89.96975909999999,,67.4,7.4156,259.8,0.004,4.601,32.1071,32.3423,14.96,1.13,13.16,0.09,1.0253994437916725,,15.339975679123421,1.1587013714845897,13.49425668029841,0.09228594994125051,25.090732312393584
6,GP15,1.0,56.093999999999994,-156.961,12432,43369,85,1-85,197.9322566,76.50710394,,82.6,7.2978,246.7,0.004,4.569,32.3363,32.3543,20.73,1.3,15.61,0.13,1.0256661321413303,,21.262058919289778,1.3333659717837294,16.010648322726166,0.13333659717837293,25.28772647105143
7,GP15,2.0,55.59477,-156.3461,12455,43369,2,2-2,244.4767538,,0.196020291,2.0,10.9725,277.8,4.342,1.482,32.2079,32.2,8.41,0.49,3.11,0.12,1.024620783411897,0.20084646412904802,8.617060788494054,0.5020641838718295,3.1865706364109996,0.12295449400942764,24.611784413924624
8,GP15,2.0,55.59477,-156.3461,12470,43369,44,2-44,137.19110780000003,,2.2735229269999997,45.3,9.5065,279.1,,,32.3399,32.3411,12.42,0.75,7.7,0.17,1.025167324028499,2.3307414151900305,12.732578164433958,0.7688754930213744,7.893788395019443,0.17427844508484486,24.962033085799476
9,GP15,2.0,55.59477,-156.3461,12468,43369,65,2-65,170.89270919999998,,2.403350417,66.2,6.7905,260.4,,,32.6127,32.6449,21.8,1.3,16.88,0.1,1.0258761765719546,2.4655399367545727,22.36410064926861,1.333639029543541,17.316789860534595,0.10258761765719547,25.572213575525666
