,Cruise,Station,Latitude,Longitude,Sample #,Date Sampled,DEPTH [m],dCo [pM],LdCo [pM],CTDPRS [dbar],CTDTMP,CTDOXY [umol/kg],CTDFLUOR,Salinity,Silicate [umol/kg],Phosphate [umol/kg],Nitrate [umol/kg],Nitrite [umol/kg],CTDXMISS,CTDSAL,Density,CTDOXY [uM],Silicate [uM],Phosphate [uM],Nitrate [uM],Nitrite [uM]
0,GP15,1,56.094,-156.961,12430,43369,2,576.428798,101.8864061,2,10.6312,276.6953,0.1028,31.4337,7.53,0.44,2.7,0.2,4.0535,31.3983,1.024049312,283.3496315,7.711091317,0.450581697,2.764933141,0.204809862
1,GP15,1,56.094,-156.961,12442,43369,20,397.0087055,110.1683157,17.4,10.4989,298.7,0.101,31.4509,7.53,0.47,2.82,0.23,4.191,31.4509,1.024182704,305.9233737,7.712095762,0.481365871,2.888195226,0.235562022
2,GP15,1,56.094,-156.961,12440,43369,30,321.6010131,99.71484798,27.5,9.9018,282.1,0.031,31.8003,10.86,0.77,7.04,0.53,4.511,31.8003,1.02460038,289.0397673,11.12716013,0.788942293,7.213186678,0.543038202
3,GP15,1,56.094,-156.961,12438,43369,40,259.1710306,74.60945621,37.9,9.271,269.4,0.011,31.9401,11.74,0.9,9.25,0.35,4.579,31.9401,1.024858296,276.096825,12.0318364,0.922372467,9.47993924,0.358700404
4,GP15,1,56.094,-156.961,12436,43369,50,275.8365645,96.95663937,47.2,8.5591,264.2,0.005,32.0044,13.69,1,10.77,0.27,4.589,32.0044,1.025060789,270.8210605,14.0330822,1.025060789,11.0399047,0.276766413
5,GP15,1,56.094,-156.961,12434,43369,70,271.7547984,89.9697591,67.4,7.4156,259.8,0.004,32.1071,14.96,1.13,13.16,0.09,4.601,32.1071,1.025399444,266.3987755,15.33997568,1.158701371,13.49425668,0.09228595
6,GP15,1,56.094,-156.961,12432,43369,85,197.9322566,76.50710394,82.6,7.2978,246.7,0.004,32.3363,20.73,1.3,15.61,0.13,4.569,32.3363,1.025666132,253.0318348,21.26205892,1.333365972,16.01064832,0.133336597
7,GP15,2,55.59477,-156.3461,12455,43369,2,244.4767538,,2,10.9725,277.8221,4.3422,32.2,8.41,0.49,3.11,0.12,1.4818,32.2079,1.024620783,284.6622978,8.617060788,0.502064184,3.186570636,0.122954494
8,GP15,2,55.59477,-156.3461,12470,43369,44,137.1911078,,45.3,9.5065,279.1,,32.3399,12.42,0.75,7.7,0.17,,32.3399,1.025167324,286.1242001,12.73257816,0.768875493,7.893788395,0.174278445
9,GP15,2,55.59477,-156.3461,12468,43369,65,170.8927092,,66.2,6.7905,260.4,,32.6127,21.8,1.3,16.88,0.1,,32.6127,1.025876177,267.1381564,22.36410065,1.33363903,17.31678986,0.102587618
