box #,latfloor,latceiling,depthceiling,depthfloor,dCo_mean_obs,O2_mean_obs,PO4_mean_obs,dCo_mean_model,O2_mean_model,PO4_mean_model
1,-21,-20,0,10,,,,,,
2,-21,-20,10,20,,,,,,
3,-21,-20,20,30,,,,,,
4,-21,-20,30,40,,,,,,
5,-21,-20,40,50,,,,,,
6,-21,-20,50,60,,,,,,
7,-21,-20,60,70,,,,,,
8,-21,-20,70,80,,,,,,
9,-21,-20,80,90,,,,,,
10,-21,-20,90,100,,,,,,
11,-21,-20,100,110,,,,,,
12,-21,-20,110,120,,,,,,
13,-21,-20,120,135,,,,,,
14,-21,-20,135,150,,,,,,
15,-21,-20,150,175,,,,,,
16,-21,-20,175,200,,,,,,
17,-21,-20,200,250,,,,,,
18,-21,-20,250,300,,,,,,
19,-21,-20,300,500,,,,,,
20,-21,-20,500,700,,,,,,
21,-21,-20,700,1000,,,,,,
22,-21,-20,1000,1250,,,,,,
23,-21,-20,1250,1500,,,,,,
24,-21,-20,1500,2000,,,,,,
25,-21,-20,2000,2500,,,,,,
26,-21,-20,2500,3000,,,,,,
27,-21,-20,3000,3500,,,,,,
28,-21,-20,3500,4000,,,,,,
29,-21,-20,4000,4500,,,,,,
30,-21,-20,4500,5000,,,,,,
31,-21,-20,5000,5500,,,,,,
32,-20,-19,0,10,0.0,,0.05,3.28402835130692,204.17492675781298,0.13223084434866902
33,-20,-19,10,20,,,,3.28402316570282,204.176219940186,0.132231418043375
34,-20,-19,20,30,0.0,197.7,0.05,3.27746623754501,204.35950851440398,0.132267196973165
35,-20,-19,30,40,,,,3.2194276650746696,205.481769561768,0.132589377462864
36,-20,-19,40,50,0.0,203.8,0.05,3.09984173377355,207.048797607422,0.13347971687714302
37,-20,-19,50,60,,,,2.93251770734787,208.45824432373,0.134807238976161
38,-20,-19,60,70,,,,2.74436114231745,209.573324839274,0.136144985755285
39,-20,-19,70,80,,,,2.6113136013348903,210.695805867513,0.13736488297581698
40,-20,-19,80,90,,,,2.5144153436025,211.93928654988602,0.13849342614412302
41,-20,-19,90,100,12.00895465,209.0,0.02,2.41281807422638,213.418753306071,0.139743520567814
42,-20,-19,100,110,,,,2.32618906100591,215.369861602783,0.141451748708884
43,-20,-19,110,120,,,,2.3208247621854103,217.258313496908,0.14293045798937498
44,-20,-19,120,135,6.318993814,194.6,0.09,2.40481690565745,218.863402048747,0.145333344737689
45,-20,-19,135,150,,,,2.6711815396944703,219.374350229899,0.15481401483217902
46,-20,-19,150,175,9.954688834,198.2,0.08,3.49789891640345,216.444277445475,0.18791329363981896
47,-20,-19,175,200,,,,5.699562748273211,210.766754150391,0.242547682176034
48,-20,-19,200,250,6.823371547000001,187.2,0.19,8.66848214467367,206.265162150065,0.311310010651747
49,-20,-19,250,300,6.38971922,189.8,0.25,13.411805788675899,202.36559041341098,0.467072501778603
50,-20,-19,300,500,20.02231493575,190.125,0.745,22.995513121286997,196.510320027669,0.916503295302391
51,-20,-19,500,700,42.91302659666667,192.83333333333334,1.63,31.9306457837423,192.606819152832,1.51539399226507
52,-20,-19,700,1000,42.70638262999999,166.7,2.19,37.1757949193319,168.15504328409799,2.0483566323916103
53,-20,-19,1000,1250,46.08266919,149.1,2.43,40.363152821858705,142.08794148763002,2.46508252620697
54,-20,-19,1250,1500,23.65547273,149.2,2.45,41.5208991368612,134.77489344279,2.64401884873708
55,-20,-19,1500,2000,25.18494095,147.7,2.39,41.7875477472941,141.36683273315398,2.6652618249257403
56,-20,-19,2000,2500,19.86438114,152.1,2.4,42.0160055160522,156.979279836019,2.62881334622701
57,-20,-19,2500,3000,25.70833949,156.1,2.38,42.687512715657604,178.37846883138002,2.5541405081749
